
09/06/2025 12:09:10 | DEBUG | Session variables set for user: System Admin | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:10 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:10 | DEBUG | Activity logged to database for user ID: 1 | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:10 | DEBUG | Preparing to redirect to index.php | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:15 | DEBUG | Login page loaded | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:15 | DEBUG | Request Method: GET | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Login page loaded | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Request Method: POST | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | POST data: ["action","username","password"] | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Login attempt for username: admin | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Attempting to authenticate user: admin | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Password verified for user: admin | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Authentication successful for user ID: 1 | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Session variables set for user: System Admin | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Activity logged to database for user ID: 1 | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 13:41:16 | DEBUG | Preparing to redirect to index.php | IP: 172.71.241.18 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:40 | DEBUG | Login page loaded | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:40 | DEBUG | Request Method: GET | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Login page loaded | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Request Method: POST | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | POST data: ["action","username","password"] | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Login attempt for username: admin | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Attempting to authenticate user: admin | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Password verified for user: admin | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Authentication successful for user ID: 1 | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Session variables set for user: System Admin | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Activity logged to database for user ID: 1 | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 14:43:42 | DEBUG | Preparing to redirect to index.php | IP: 162.158.216.168 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:27 | DEBUG | Login page loaded | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:27 | DEBUG | Request Method: GET | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Login page loaded | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Request Method: POST | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | POST data: ["action","username","password"] | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 15:52:29 | DEBUG | Login attempt for username: admin | IP: 172.71.241.166 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
